weather,timeOfWeek,timeOfDay,trafficJam
Clear,Workday,Morning,Yes
Rainy,Workday,Morning,Yes
Rainy,Workday,Morning,Yes
Clear,Workday,Morning,Yes
Rainy,Workday,Morning,Yes
Rainy,Weekend,Morning,No
Clear,Weekend,Morning,Yes
Rainy,Workday,Lunch,Yes
Snowy,Workday,Lunch,No
Clear,Workday,Lunch,Yes
Clear,Workday,Lunch,No
Rainy,Workday,Lunch,Yes
Clear,Weekend,Lunch,No
Snowy,Weekend,Lunch,No
Clear,Workday,Evening,Yes
Snowy,Workday,Evening,No
Rainy,Workday,Evening,Yes
Snowy,Workday,Evening,No
Rainy,Workday,Evening,Yes
Clear,Weekend,Evening,Yes
Rainy,Weekend,Evening,Yes
